dataset,omitted_detector,method,m,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),Isolation forest,Borda mean rank,213,0.3158794271323832,0.00262994509902406,0.3132494820333591,0.05009301089556205,0.3306067455438328,1131.0,134712.0,430047,0.3358833928814272,0.14352768540035105,0.06712215227385966,0.5146642806295376,0.37029625005017586,0.34549875656859114,0.8205040792540793,0.39906103286384975,0.4694835680751174,0.48295454545454547,0.21231422505307856
UCI Cardiotocography (ordinal),Isolation forest,Median rank,213,0.3065455636244411,0.0033066153234413915,0.3032389483009997,0.06298166356630348,0.32004152463132163,1422.0,130407.0,430047,0.32595843584259526,0.12337784171014389,0.08362769242939448,0.4503599663508787,0.3239396121745376,0.33103393577222895,0.8219842657342658,0.3755868544600939,0.4647887323943662,0.45454545454545453,0.21019108280254778
UCI Cardiotocography (ordinal),Isolation forest,Reciprocal-rank fusion,213,0.2827109594997756,0.005429639085960372,0.27728132041381526,0.1034192576844716,0.2926455754916325,2335.0,119244.0,430047,0.3006144374250498,0.18152445010798002,0.13901959543397166,0.4919650858993108,0.37511681529731256,0.3644485968033522,0.835623543123543,0.3615023474178404,0.4413145539906103,0.4375,0.19957537154989385
UCI Cardiotocography (ordinal),Isolation forest,Rank product,213,0.294430608747416,0.004794824751713185,0.2896357839957028,0.0913278412614049,0.3056846042275609,2062.0,124557.0,430047,0.3130762668908478,0.16417664160899453,0.12268248343756594,0.5022655316140391,0.37732229904136916,0.35816592279743464,0.8296794871794873,0.3755868544600939,0.4507042253521127,0.45454545454545453,0.20382165605095542
UCI Cardiotocography (ordinal),Isolation forest,Best-rank fusion,213,0.22294074833680969,0.0088339181531321,0.2141068301836776,0.16826113916201613,0.22597056463191065,3799.0,92076.0,430047,0.23705910714948014,0.2135099736944412,0.23435203285898298,0.44207167190680347,0.3508872253001918,0.3711031856778271,0.8391666666666667,0.323943661971831,0.38497652582159625,0.39204545454545453,0.1740976645435244
UCI Cardiotocography (ordinal),Local outlier factor,Borda mean rank,213,0.34761084253581587,0.0074619750864440395,0.34014886744937184,0.1421295065993445,0.3589966353268592,3209.0,146280.0,430047,0.3696242906771175,0.16922030495319357,0.19210351730864025,0.5541926267584875,0.4239389560737954,0.3698822690429269,0.8377301864801865,0.43661971830985913,0.48826291079812206,0.5284090909090909,0.2208067940552017
UCI Cardiotocography (ordinal),Local outlier factor,Median rank,213,0.3880459577674068,0.004897139149906871,0.38314881861749994,0.09327664097794314,0.4043792288493112,2106.0,164772.0,430047,0.4126200749193319,0.181169817529091,0.12287880642476225,0.580154585213195,0.4414930171771592,0.38990798090629675,0.850979020979021,0.4460093896713615,0.5305164319248826,0.5397727272727273,0.23991507430997877
UCI Cardiotocography (ordinal),Local outlier factor,Reciprocal-rank fusion,213,0.3621348364248559,0.003848416568421591,0.3582864198564343,0.07330144388342634,0.37813919586520695,1655.0,154080.0,430047,0.3850680579079457,0.200690662694602,0.09760134198548269,0.5632919351836116,0.4297744112322077,0.3903659364503218,0.852759324009324,0.43661971830985913,0.5070422535211268,0.5284090909090909,0.22929936305732485
UCI Cardiotocography (ordinal),Local outlier factor,Rank product,213,0.3853555541603592,0.0023602071401497976,0.38299534702020943,0.04495526618832492,0.40421725333706365,1015.0,164706.0,430047,0.40975929382966364,0.18764952390879114,0.06018042770018192,0.5830539565097715,0.43058080821374073,0.38379274557648413,0.848409090909091,0.4647887323943662,0.5258215962441315,0.5625,0.23779193205944799
UCI Cardiotocography (ordinal),Local outlier factor,Best-rank fusion,213,0.2615714096366211,0.006962029731633984,0.2546093799049871,0.13260696252989637,0.26871737481869784,2994.0,109494.0,430047,0.27813616526759555,0.22264577593248688,0.182197943970744,0.4726148623038495,0.3737327032954097,0.3834397444708343,0.8499125874125876,0.3615023474178404,0.41784037558685444,0.4375,0.18895966029723993
UCI Cardiotocography (ordinal),kNN distance,Borda mean rank,213,0.3297430280876276,0.0030438533462621526,0.3266991747413655,0.05797679156701214,0.344801690435346,1309.0,140496.0,430047,0.3506249459121985,0.19224661289438918,0.07798427156295258,0.5292662997720482,0.39356923433994834,0.36950701526912044,0.8520571095571096,0.41784037558685444,0.4788732394366197,0.5056818181818182,0.21656050955414013
UCI Cardiotocography (ordinal),kNN distance,Median rank,213,0.33110101919092566,0.005343601978388408,0.32575741721253726,0.10178049428647355,0.34380774979200873,2298.0,140091.0,430047,0.35206893567569575,0.19855994843461056,0.13451639325729975,0.5302478432769027,0.41424707086376045,0.3873753905090175,0.8622494172494173,0.39436619718309857,0.4835680751173709,0.4772727272727273,0.21868365180467092
UCI Cardiotocography (ordinal),kNN distance,Reciprocal-rank fusion,213,0.31522368485305097,0.004164661071929347,0.3110590237811216,0.0793250066436354,0.3282949132326631,1791.0,133770.0,430047,0.3351861238517933,0.2114434727409152,0.10572142107122126,0.5207656397083076,0.40535016413579,0.3869264753368482,0.856756993006993,0.38967136150234744,0.4694835680751174,0.4715909090909091,0.21231422505307856
UCI Cardiotocography (ordinal),kNN distance,Rank product,213,0.3238808781365758,0.003906549749213458,0.31997432838736234,0.07440871644964124,0.3377042179895894,1680.0,137604.0,430047,0.3443915585940881,0.20376998261828835,0.09988286980458073,0.531224630155404,0.4081906181387005,0.383724107731264,0.8566433566433567,0.4084507042253521,0.47417840375586856,0.4943181818181818,0.21443736730360935
UCI Cardiotocography (ordinal),kNN distance,Best-rank fusion,213,0.23384188239890058,0.0084758177594542,0.2253660646394464,0.16144034015413233,0.23785367721225417,3645.0,96918.0,430047,0.2486505866208414,0.22106087477745212,0.22370186412365917,0.4467377557594474,0.3562340431153519,0.37578584190606457,0.8450495337995337,0.3333333333333333,0.39436619718309857,0.4034090909090909,0.17834394904458598
UCI Cardiotocography (ordinal),PCA reconstruction,Borda mean rank,213,0.283594583847812,0.0052180343078779765,0.278376549539934,0.09938878554344938,0.29380149164721736,2244.0,119715.0,430047,0.3015540198054076,0.16932100309287806,0.13392901868513307,0.4975196675060857,0.3810406263468636,0.3667201956497653,0.8438811188811188,0.36619718309859156,0.4413145539906103,0.4431818181818182,0.19957537154989385
UCI Cardiotocography (ordinal),PCA reconstruction,Median rank,213,0.3345285515304141,0.003141517089992489,0.3313870344404216,0.05983700947825317,0.34974930608218047,1351.0,142512.0,430047,0.35571352627739933,0.1626165501405487,0.07900616164404695,0.480193067755471,0.35639276204606934,0.35438907204021053,0.8521037296037295,0.39906103286384975,0.48826291079812206,0.48295454545454547,0.2208067940552017
UCI Cardiotocography (ordinal),PCA reconstruction,Reciprocal-rank fusion,213,0.293751613195767,0.005211058326182952,0.288540554869584,0.09925591283550358,0.30452868807197603,2241.0,124086.0,430047,0.31235427200909915,0.19920645967925177,0.1329980046381251,0.5053537550788514,0.39665501605806897,0.3820215124494302,0.856911421911422,0.37089201877934275,0.4507042253521127,0.44886363636363635,0.20382165605095542
