dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),Base: Isolation forest,base,176,False,0.453851087562744,0.006712214166201896,0.4471388733965421,0.1562987012987013,0.4672027972027972,2407.0,160344.0,358600,0.47421620046620044,0.23491343625405428,0.20808023575567863,0.6035420093796823,0.498447343449577,0.43405699060864494,0.8918881118881119,0.5113636363636364,0.5852272727272727,0.5113636363636364,0.21868365180467092
UCI Cardiotocography (ordinal),Base: Isolation forest,base,213,True,0.406571839822159,0.010915086025480936,0.39565675379667803,0.2079014970325095,0.41758023309748715,4694.0,170151.0,430047,0.4323191612990963,0.23491343625405428,0.2706750579889331,0.5932729611342467,0.498447343449577,0.43405699060864494,0.8918881118881119,0.4413145539906103,0.5446009389671361,0.5340909090909091,0.24628450106157113
UCI Cardiotocography (ordinal),Base: Isolation forest,base,425,False,0.27326465975831,0.023194858706681837,0.2500698010516282,0.2093007769145394,0.2812366428052703,18858.0,203313.0,813025,0.29415129187933187,0.23491343625405428,0.28105237038570463,0.5529574622072887,0.498447343449577,0.43405699060864494,0.8918881118881119,0.30117647058823527,0.41411764705882353,0.7272727272727273,0.37367303609341823
UCI Cardiotocography (ordinal),Base: Local outlier factor,base,176,False,0.1483100948131623,0.0032961517010596767,0.1450139431121026,0.07675324675324675,0.15152097902097902,1182.0,52002.0,358600,0.15496503496503494,0.11402313047278402,0.10787509741440551,0.32551652138401593,0.22536334740286482,0.3013836919769567,0.7807634032634032,0.2159090909090909,0.3409090909090909,0.2159090909090909,0.12738853503184713
UCI Cardiotocography (ordinal),Base: Local outlier factor,base,213,True,0.1262443407348499,0.005036658783807351,0.12120768195104256,0.09593409513685888,0.1279238420591505,2166.0,52125.0,430047,0.13423912371580107,0.11402313047278402,0.13673526029453134,0.3196566847460134,0.22536334740286482,0.3013836919769567,0.7807634032634032,0.1784037558685446,0.323943661971831,0.2159090909090909,0.1464968152866242
UCI Cardiotocography (ordinal),Base: Local outlier factor,base,425,False,0.14617631684142554,0.0007453645336859261,0.1454309523077396,0.006725860155382908,0.16355638551716983,606.0,118239.0,813025,0.1573491152463607,0.11402313047278402,0.009487404743843764,0.3866304463407138,0.22536334740286482,0.3013836919769567,0.7807634032634032,0.1976470588235294,0.33647058823529413,0.4772727272727273,0.3036093418259023
UCI Cardiotocography (ordinal),Base: kNN distance,base,176,False,0.36741215839375346,0.0037311767986614613,0.36368098159509205,0.08688311688311688,0.38,1338.0,130416.0,358600,0.3838986013986014,0.03860168324240052,0.11260520114639147,0.5080168969494676,0.34845682702635855,0.3263341229396083,0.7589423076923076,0.4090909090909091,0.5227272727272727,0.4090909090909091,0.19532908704883228
UCI Cardiotocography (ordinal),Base: kNN distance,base,213,True,0.3555448590502899,0.0038298139505681937,0.3517150450997217,0.07294711666223758,0.37120369893169786,1647.0,151254.0,430047,0.3780607514186458,0.03860168324240052,0.0955228886092219,0.5314459000294707,0.34845682702635855,0.3263341229396083,0.7589423076923076,0.4084507042253521,0.5070422535211268,0.4943181818181818,0.22929936305732485
UCI Cardiotocography (ordinal),Base: kNN distance,base,425,False,0.20011807754989083,0.022835706159097198,0.17728237139079364,0.2060599334073252,0.1993775287892935,18566.0,144135.0,813025,0.21541384492152071,0.03860168324240052,0.2894913287708712,0.4713931961209237,0.34845682702635855,0.3263341229396083,0.7589423076923076,0.25882352941176473,0.35294117647058826,0.625,0.3184713375796178
UCI Cardiotocography (ordinal),Base: PCA reconstruction,base,176,False,0.2573814835471277,0.004531511433351924,0.2528499721137758,0.10551948051948051,0.2641958041958042,1625.0,90672.0,358600,0.26893065268065264,0.08416248357299924,0.14152421556464273,0.4291875106697357,0.2930527132516142,0.3192459447526733,0.7029516317016317,0.32954545454545453,0.42613636363636365,0.32954545454545453,0.1592356687898089
UCI Cardiotocography (ordinal),Base: PCA reconstruction,base,213,True,0.259499543073199,0.003487990847512016,0.25601155222568694,0.06643635397289396,0.2701972419987778,1500.0,110097.0,430047,0.2759330918441777,0.08416248357299924,0.08903204287175305,0.45236766320711413,0.2930527132516142,0.3192459447526733,0.7029516317016317,0.3286384976525822,0.4272300469483568,0.3977272727272727,0.1932059447983015
UCI Cardiotocography (ordinal),Base: PCA reconstruction,base,425,False,0.15725346699055995,0.014464499861627872,0.14278896712893208,0.13052164261931187,0.16058512293806412,11760.0,116091.0,813025,0.16927293309236788,0.08416248357299924,0.18702588552378802,0.42464668012168594,0.2930527132516142,0.3192459447526733,0.7029516317016317,0.22588235294117648,0.3270588235294118,0.5454545454545454,0.2951167728237792
UCI Cardiotocography (ordinal),Base: HBOS,base,176,False,0.38162855549358615,0.006126603457891801,0.37550195203569436,0.14266233766233766,0.3923513986013986,2197.0,134655.0,358600,0.3987529137529137,0.10193789431731178,0.19069585627433994,0.5530248802724362,0.425752827906803,0.35787134338239396,0.8130477855477856,0.4602272727272727,0.5227272727272727,0.4602272727272727,0.19532908704883228
