dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),Borda mean rank,aggregate,213,True,0.34041162942655107,0.0024532202294167845,0.33795840919713427,0.046726902294268756,0.35668480301568956,1055.0,145338.0,430047,0.36196916686241304,0.16264135982713765,0.06275161472509978,0.5399182956675636,0.3928209672280254,0.3599642246791295,0.8369609557109556,0.4272300469483568,0.48826291079812206,0.5170454545454546,0.2208067940552017
UCI Cardiotocography (ordinal),Median rank,aggregate,213,True,0.3568330903366376,0.002927586984678419,0.3539055033519592,0.05576224643458234,0.37351553124286757,1259.0,152196.0,430047,0.37943056362579897,0.1624107756811934,0.07339967270446436,0.5528251742568999,0.4137801723049736,0.3776909904152502,0.8478613053613053,0.41784037558685444,0.5070422535211268,0.5056818181818182,0.22929936305732485
UCI Cardiotocography (ordinal),Reciprocal-rank fusion,aggregate,213,True,0.32448778854404287,0.00435998855939002,0.32012779998465285,0.08304544246611746,0.33786619350183694,1875.0,137670.0,430047,0.34503690333428116,0.19185695487560994,0.10987035210980264,0.5272248561328494,0.40643959033874266,0.3810224170149529,0.8486043123543123,0.38967136150234744,0.4788732394366197,0.4715909090909091,0.21656050955414013
UCI Cardiotocography (ordinal),Rank product,aggregate,213,True,0.3249109981002076,0.004783198115554811,0.32012779998465285,0.09110638674816193,0.33786619350183694,2057.0,137670.0,430047,0.3454869138427683,0.17859544769715607,0.12053510095459416,0.5275561148678267,0.405998959421487,0.374887254685382,0.8446503496503497,0.38967136150234744,0.4788732394366197,0.4715909090909091,0.21656050955414013
UCI Cardiotocography (ordinal),Best-rank fusion,aggregate,213,True,0.2391017725969487,0.008106090729617925,0.23099568186733077,0.15439808663300558,0.24379523350242596,3486.0,99339.0,430047,0.2542435743691817,0.21690452257713996,0.2134270233104719,0.45459366810228624,0.3610420521806677,0.3762899868432682,0.843927738927739,0.3380281690140845,0.39906103286384975,0.4090909090909091,0.18046709129511676
ADBench Mammography (binary stress test),Borda mean rank,aggregate,260,True,0.2269914568580029,0.0014552920501800847,0.2255361648078228,0.1242055242055242,0.22821005781730858,4182.0,648112.0,2873650,0.2296826033986155,0.14405798522858737,0.20349064465163597,0.30050151774985734,0.19107374275442715,0.19107374275442715,0.8379664645525673,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617
ADBench Mammography (binary stress test),Median rank,aggregate,260,True,0.24699806865832652,0.0020040714770413934,0.24499399718128512,0.17104247104247106,0.2478985767505405,5759.0,704027.0,2873650,0.24992640793245022,0.15106338256489937,0.2733910489757011,0.3278265126124135,0.22377515238983903,0.22377515238983903,0.8544014394467567,0.2653846153846154,0.2653846153846154,0.2653846153846154,0.2653846153846154
ADBench Mammography (binary stress test),Reciprocal-rank fusion,aggregate,260,True,0.2352450715988377,0.0019257738416299827,0.23331929775720772,0.16435996435996436,0.23608546539060135,5534.0,670478.0,2873650,0.23803407066246943,0.14061494688054244,0.26652918044277013,0.3123769376065417,0.1935404441580887,0.1935404441580887,0.8298889428798795,0.25384615384615383,0.25384615384615383,0.25384615384615383,0.25384615384615383
ADBench Mammography (binary stress test),Rank product,aggregate,260,True,0.2543844935882936,0.0016073634576235798,0.25277713013067005,0.13718443718443718,0.25577398432383325,4619.0,726393.0,2873650,0.25740040422819876,0.1443905821326531,0.2173033029899527,0.3268211028100384,0.2026550310132124,0.2026550310132124,0.8387467517376883,0.27307692307692305,0.27307692307692305,0.27307692307692305,0.27307692307692305
ADBench Mammography (binary stress test),Best-rank fusion,aggregate,260,True,0.1880507368677466,0.0014302368068484332,0.18662050006089817,0.12206712206712207,0.18883301995084473,4110.0,536282.0,2873650,0.1902802132409383,0.12907161299439876,0.21236834060330967,0.2528106555017248,0.1384185448498777,0.1384185448498777,0.802807766251875,0.2076923076923077,0.2076923076923077,0.2076923076923077,0.2076923076923077
